scorer,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
